ticker,name,sector,sub_industry,ai_density_2023,mda_length,note,rank_desc_in_sector,rank_asc_in_sector,group
GEHC,GE HealthCare,Health Care,Health Care Equipment,0.3126,618812, full_text_fallback,1.0,21.0,treatment
MDT,Medtronic,Health Care,Health Care Equipment,0.2404,528879, full_text_fallback,2.0,20.0,treatment
RMD,ResMed,Health Care,Health Care Equipment,0.2336,488472, full_text_fallback,3.0,19.0,treatment
MRNA,Moderna,Health Care,Biotechnology,0.1929,740647, full_text_fallback,4.0,18.0,treatment
DXCM,Dexcom,Health Care,Health Care Equipment,0.0124,646376, full_text_fallback,21.0,1.0,control
DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,0.0141,594778, full_text_fallback,20.0,2.0,control
CRL,Charles River Laboratories,Health Care,Life Sciences Tools & Services,0.0158,557212, full_text_fallback,19.0,3.0,control
IQV,IQVIA,Health Care,Life Sciences Tools & Services,0.0159,533743, full_text_fallback,18.0,4.0,control
ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,1.1123,362426, full_text_fallback,1.0,28.0,treatment
PAYX,Paychex,Industrials,Human Resource & Employment Services,0.2443,311614, full_text_fallback,2.0,27.0,treatment
GD,General Dynamics,Industrials,Aerospace & Defense,0.1755,338618, full_text_fallback,3.0,26.0,treatment
EFX,Equifax,Industrials,Research & Consulting Services,0.1732,477521, full_text_fallback,4.0,25.0,treatment
RTX,RTX Corporation,Industrials,Aerospace & Defense,0.0127,658040, full_text_fallback,28.0,1.0,control
LMT,Lockheed Martin,Industrials,Aerospace & Defense,0.0152,508735, full_text_fallback,27.0,2.0,control
MMM,3M,Industrials,Industrial Conglomerates,0.0153,605934, full_text_fallback,26.0,3.0,control
SWK,Stanley Black & Decker,Industrials,Industrial Machinery & Supplies & Components,0.0159,499148, full_text_fallback,25.0,4.0,control
BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,0.384,421869, full_text_fallback,1.0,4.0,treatment
SLB,Schlumberger,Energy,Oil & Gas Equipment & Services,0.0653,292729, full_text_fallback,2.0,3.0,treatment
DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,0.0203,375628, full_text_fallback,4.0,1.0,control
HAL,Halliburton,Energy,Oil & Gas Equipment & Services,0.029,313414, full_text_fallback,3.0,2.0,control
