ticker,name,sector,sub_industry,group,fiscal_year,filing_date,accession_number,extraction_method,data_quality,mda_word_count,ai_keyword_hits,ai_density_per1k,speculative_hits,speculative_score,operational_hits,operational_score,spec_vs_oper_ratio,ai_density_2023,status
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,treatment,2019,2020-02-04,0001652044-20-000008,tenk_management_discussion,HIGH,8320.0,2.0,0.2404,0.0,0.0,0.0,0.0,0.0,0.6213,ok
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,treatment,2020,2021-02-03,0001652044-21-000010,tenk_management_discussion,HIGH,10086.0,3.0,0.2974,0.0,0.0,0.0,0.0,0.0,0.6213,ok
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,treatment,2021,2022-02-02,0001652044-22-000019,tenk_management_discussion,HIGH,7702.0,1.0,0.1298,0.0,0.0,0.0,0.0,0.0,0.6213,ok
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,treatment,2022,2023-02-03,0001652044-23-000016,tenk_management_discussion,HIGH,7978.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6213,ok
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,treatment,2023,2024-01-31,0001652044-24-000022,tenk_management_discussion,HIGH,8377.0,1.0,0.1194,0.0,0.0,0.0,0.0,0.0,0.6213,ok
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,treatment,2024,2025-02-05,0001652044-25-000014,tenk_management_discussion,HIGH,8091.0,1.0,0.1236,0.0,0.0,0.0,0.0,0.0,0.6213,ok
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,treatment,2018,2019-02-06,0001193125-19-028757,full_text_fallback,LOW,1874.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6213,ok
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,treatment,2019,2020-02-04,0001652044-20-000008,tenk_management_discussion,HIGH,8320.0,2.0,0.2404,0.0,0.0,0.0,0.0,0.0,0.6213,ok
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,treatment,2020,2021-02-03,0001652044-21-000010,tenk_management_discussion,HIGH,10086.0,3.0,0.2974,0.0,0.0,0.0,0.0,0.0,0.6213,ok
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,treatment,2021,2022-02-02,0001652044-22-000019,tenk_management_discussion,HIGH,7702.0,1.0,0.1298,0.0,0.0,0.0,0.0,0.0,0.6213,ok
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,treatment,2022,2023-02-03,0001652044-23-000016,tenk_management_discussion,HIGH,7978.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6213,ok
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,treatment,2023,2024-01-31,0001652044-24-000022,tenk_management_discussion,HIGH,8377.0,1.0,0.1194,0.0,0.0,0.0,0.0,0.0,0.6213,ok
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,treatment,2024,2025-02-05,0001652044-25-000014,tenk_management_discussion,HIGH,8091.0,1.0,0.1236,0.0,0.0,0.0,0.0,0.0,0.6213,ok
AXP,American Express,Financials,Consumer Finance,treatment,2018,2019-02-13,0000004962-19-000018,tenk_management_discussion,HIGH,20687.0,1.0,0.0483,0.0,0.0,0.0,0.0,0.0,0.1228,ok
AXP,American Express,Financials,Consumer Finance,treatment,2019,2020-02-13,0000004962-20-000030,tenk_management_discussion,HIGH,19470.0,1.0,0.0514,0.0,0.0,0.0,0.0,0.0,0.1228,ok
AXP,American Express,Financials,Consumer Finance,treatment,2020,2021-02-12,0000004962-21-000013,tenk_management_discussion,HIGH,22215.0,4.0,0.1801,0.0,0.0,2.0,0.09,0.0,0.1228,ok
AXP,American Express,Financials,Consumer Finance,treatment,2021,2022-02-11,0000004962-22-000008,tenk_management_discussion,HIGH,22203.0,3.0,0.1351,2.0,0.0901,2.0,0.0901,1.0,0.1228,ok
AXP,American Express,Financials,Consumer Finance,treatment,2022,2023-02-10,0000004962-23-000006,tenk_management_discussion,HIGH,21836.0,3.0,0.1374,2.0,0.0916,2.0,0.0916,1.0,0.1228,ok
AXP,American Express,Financials,Consumer Finance,treatment,2023,2024-02-09,0000004962-24-000013,tenk_management_discussion,HIGH,22426.0,4.0,0.1784,2.0,0.0892,2.0,0.0892,1.0,0.1228,ok
AXP,American Express,Financials,Consumer Finance,treatment,2024,2025-02-07,0000004962-25-000016,tenk_management_discussion,HIGH,22399.0,7.0,0.3125,4.0,0.1786,5.0,0.2232,0.8,0.1228,ok
ADI,Analog Devices,Information Technology,Semiconductors,control,2018,2018-11-27,0000006281-18-000126,tenk_management_discussion,HIGH,10396.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0575,ok
ADI,Analog Devices,Information Technology,Semiconductors,control,2019,2019-11-26,0000006281-19-000144,tenk_management_discussion,HIGH,10211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0575,ok
ADI,Analog Devices,Information Technology,Semiconductors,control,2020,2020-11-24,0000006281-20-000156,tenk_management_discussion,HIGH,8518.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0575,ok
ADI,Analog Devices,Information Technology,Semiconductors,control,2021,2021-12-03,0000006281-21-000294,tenk_management_discussion,HIGH,7891.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0575,ok
ADI,Analog Devices,Information Technology,Semiconductors,control,2022,2022-11-22,0000006281-22-000250,tenk_management_discussion,HIGH,7201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0575,ok
ADI,Analog Devices,Information Technology,Semiconductors,control,2023,2023-11-21,0000006281-23-000203,tenk_management_discussion,HIGH,6826.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0575,ok
ADI,Analog Devices,Information Technology,Semiconductors,control,2024,2024-11-26,0000006281-24-000204,tenk_management_discussion,HIGH,5564.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0575,ok
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",control,2018,2018-11-05,0000320193-18-000145,tenk_management_discussion,HIGH,8078.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0703,ok
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",control,2019,2019-10-31,0000320193-19-000119,tenk_management_discussion,HIGH,4659.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0703,ok
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",control,2020,2020-10-30,0000320193-20-000096,tenk_management_discussion,HIGH,4407.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0703,ok
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",control,2021,2021-10-29,0000320193-21-000105,tenk_management_discussion,HIGH,2580.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0703,ok
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",control,2022,2022-10-28,0000320193-22-000108,tenk_management_discussion,HIGH,2392.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0703,ok
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",control,2023,2023-11-03,0000320193-23-000106,tenk_management_discussion,HIGH,2113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0703,ok
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",control,2024,2024-11-01,0000320193-24-000123,tenk_management_discussion,HIGH,2063.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0703,ok
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,middle,2018,2018-12-13,0000006951-18-000041,tenk_management_discussion,HIGH,8984.0,1.0,0.1113,0.0,0.0,0.0,0.0,0.0,0.2276,ok
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,middle,2019,2019-12-13,0000006951-19-000046,tenk_management_discussion,HIGH,9159.0,1.0,0.1092,0.0,0.0,0.0,0.0,0.0,0.2276,ok
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,middle,2020,2020-12-11,0000006951-20-000048,tenk_management_discussion,HIGH,9802.0,1.0,0.102,0.0,0.0,0.0,0.0,0.0,0.2276,ok
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,middle,2021,2021-12-17,0000006951-21-000043,tenk_management_discussion,HIGH,9530.0,1.0,0.1049,0.0,0.0,0.0,0.0,0.0,0.2276,ok
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,middle,2022,2022-12-16,0000006951-22-000043,tenk_management_discussion,HIGH,9404.0,1.0,0.1063,0.0,0.0,0.0,0.0,0.0,0.2276,ok
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,middle,2023,2023-12-15,0000006951-23-000041,tenk_management_discussion,HIGH,7521.0,2.0,0.2659,0.0,0.0,1.0,0.133,0.0,0.2276,ok
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,middle,2024,2024-12-13,0000006951-24-000044,tenk_management_discussion,HIGH,5704.0,4.0,0.7013,1.0,0.1753,0.0,0.0,2.0,0.2276,ok
APP,AppLovin,Information Technology,Application Software,control,2018,,,year_not_found,FAILED,,,,,,,,,0.0135,not_found
APP,AppLovin,Information Technology,Application Software,control,2019,,,year_not_found,FAILED,,,,,,,,,0.0135,not_found
APP,AppLovin,Information Technology,Application Software,control,2020,,,year_not_found,FAILED,,,,,,,,,0.0135,not_found
APP,AppLovin,Information Technology,Application Software,control,2021,2022-03-11,0001751008-22-000005,tenk_management_discussion,HIGH,13068.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0135,ok
APP,AppLovin,Information Technology,Application Software,control,2022,2023-02-28,0001751008-23-000006,tenk_management_discussion,HIGH,13068.0,1.0,0.0765,1.0,0.0765,0.0,0.0,2.0,0.0135,ok
APP,AppLovin,Information Technology,Application Software,control,2023,2024-02-26,0001751008-24-000012,tenk_management_discussion,HIGH,11265.0,2.0,0.1775,1.0,0.0888,0.0,0.0,2.0,0.0135,ok
APP,AppLovin,Information Technology,Application Software,control,2024,2025-02-27,0001751008-25-000018,tenk_management_discussion,HIGH,8419.0,4.0,0.4751,3.0,0.3563,0.0,0.0,2.0,0.0135,ok
ARES,Ares Management,Financials,Asset Management & Custody Banks,control,2018,2019-02-26,0001628280-19-001988,tenk_management_discussion,HIGH,27214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0144,ok
ARES,Ares Management,Financials,Asset Management & Custody Banks,control,2019,2020-02-28,0001628280-20-002489,tenk_management_discussion,HIGH,18325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0144,ok
ARES,Ares Management,Financials,Asset Management & Custody Banks,control,2020,2021-02-25,0001628280-21-003314,tenk_management_discussion,HIGH,21931.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0144,ok
ARES,Ares Management,Financials,Asset Management & Custody Banks,control,2021,2022-02-28,0001628280-22-004289,tenk_management_discussion,HIGH,27898.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0144,ok
ARES,Ares Management,Financials,Asset Management & Custody Banks,control,2022,2023-02-24,0001628280-23-005081,tenk_management_discussion,HIGH,27500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0144,ok
ARES,Ares Management,Financials,Asset Management & Custody Banks,control,2023,2024-02-27,0001628280-24-007014,tenk_management_discussion,HIGH,26529.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0144,ok
ARES,Ares Management,Financials,Asset Management & Custody Banks,control,2024,2025-02-27,0001628280-25-008665,tenk_management_discussion,HIGH,27595.0,1.0,0.0362,0.0,0.0,0.0,0.0,0.0,0.0144,ok
ANET,Arista Networks,Information Technology,Communications Equipment,middle,2018,2019-02-15,0001596532-19-000027,tenk_management_discussion,HIGH,7575.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2796,ok
ANET,Arista Networks,Information Technology,Communications Equipment,middle,2019,2020-02-14,0001596532-20-000024,tenk_management_discussion,HIGH,6689.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2796,ok
ANET,Arista Networks,Information Technology,Communications Equipment,middle,2020,2021-02-19,0001596532-21-000049,tenk_management_discussion,HIGH,7118.0,1.0,0.1405,0.0,0.0,0.0,0.0,0.0,0.2796,ok
ANET,Arista Networks,Information Technology,Communications Equipment,middle,2021,2022-02-15,0001596532-22-000026,tenk_management_discussion,HIGH,6436.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2796,ok
ANET,Arista Networks,Information Technology,Communications Equipment,middle,2022,2023-02-14,0001596532-23-000016,tenk_management_discussion,HIGH,6590.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2796,ok
ANET,Arista Networks,Information Technology,Communications Equipment,middle,2023,2024-02-13,0001596532-24-000043,tenk_management_discussion,HIGH,6984.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2796,ok
ANET,Arista Networks,Information Technology,Communications Equipment,middle,2024,2025-02-19,0001596532-25-000028,tenk_management_discussion,HIGH,6908.0,1.0,0.1448,0.0,0.0,0.0,0.0,0.0,0.2796,ok
ADSK,Autodesk,Information Technology,Application Software,middle,2018,2019-03-25,0000769397-19-000016,tenk_management_discussion,HIGH,13655.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2623,ok
ADSK,Autodesk,Information Technology,Application Software,middle,2019,2020-03-19,0000769397-20-000013,tenk_management_discussion,HIGH,12480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2623,ok
ADSK,Autodesk,Information Technology,Application Software,middle,2020,2021-03-19,0000769397-21-000014,tenk_management_discussion,HIGH,12174.0,3.0,0.2464,3.0,0.2464,3.0,0.2464,1.0,0.2623,ok
ADSK,Autodesk,Information Technology,Application Software,middle,2021,2022-03-14,0000769397-22-000019,tenk_management_discussion,HIGH,12102.0,3.0,0.2479,3.0,0.2479,3.0,0.2479,1.0,0.2623,ok
ADSK,Autodesk,Information Technology,Application Software,middle,2022,2023-03-14,0000769397-23-000036,tenk_management_discussion,HIGH,12161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2623,ok
ADSK,Autodesk,Information Technology,Application Software,middle,2023,2024-06-10,0000769397-24-000090,tenk_management_discussion,HIGH,12685.0,2.0,0.1577,1.0,0.0788,1.0,0.0788,1.0,0.2623,ok
ADSK,Autodesk,Information Technology,Application Software,middle,2024,2025-03-06,0000769397-25-000019,tenk_management_discussion,HIGH,11411.0,2.0,0.1753,1.0,0.0876,1.0,0.0876,1.0,0.2623,ok
ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,treatment,2018,2018-08-03,0000008670-18-000011,tenk_management_discussion,HIGH,10500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1123,ok
ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,treatment,2019,2019-08-09,0000008670-19-000021,tenk_management_discussion,HIGH,9028.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1123,ok
ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,treatment,2020,2020-08-05,0000008670-20-000032,tenk_management_discussion,HIGH,8146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1123,ok
ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,treatment,2021,2021-08-04,0000008670-21-000027,tenk_management_discussion,HIGH,7568.0,1.0,0.1321,0.0,0.0,0.0,0.0,0.0,1.1123,ok
ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,treatment,2022,2022-08-03,0000008670-22-000038,tenk_management_discussion,HIGH,7438.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1123,ok
ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,treatment,2023,2023-08-03,0000008670-23-000030,tenk_management_discussion,HIGH,6966.0,1.0,0.1436,0.0,0.0,1.0,0.1436,0.0,1.1123,ok
ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,treatment,2024,2024-08-07,0000008670-24-000024,tenk_management_discussion,HIGH,7064.0,2.0,0.2831,0.0,0.0,1.0,0.1416,0.0,1.1123,ok
AXON,Axon Enterprise,Industrials,Aerospace & Defense,control,2018,2019-02-27,0001069183-19-000023,tenk_management_discussion,HIGH,11081.0,2.0,0.1805,1.0,0.0902,0.0,0.0,2.0,0.018,ok
AXON,Axon Enterprise,Industrials,Aerospace & Defense,control,2019,2020-02-28,0001069183-20-000016,tenk_management_discussion,HIGH,8497.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,ok
AXON,Axon Enterprise,Industrials,Aerospace & Defense,control,2020,2021-02-26,0001558370-21-001873,tenk_management_discussion,HIGH,8691.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,ok
AXON,Axon Enterprise,Industrials,Aerospace & Defense,control,2021,2022-02-25,0001558370-22-002006,tenk_management_discussion,HIGH,8643.0,1.0,0.1157,1.0,0.1157,0.0,0.0,2.0,0.018,ok
